index,0,runs,balls,empty,fours,sixes,strike_rate,out_type,outby
3914,Virat Kohli (c),82,77,128,4,2,106.49,catch_out,Stoinis
3932,Virat Kohli (c),77,65,105,7,0,118.46,catch_out,Amir
3947,Virat Kohli (c),67,63,105,5,0,106.34,catch_out,Nai
3968,Virat Kohli (c),72,82,146,8,0,87.8,catch_out,Holder
3997,Virat Kohli (c),66,76,103,7,0,86.84,catch_out,Plunkett
4004,Virat Kohli (c),26,27,45,3,0,96.29,catch_out,Rahman
4034,Virat Kohli (c),34,41,61,3,0,82.92,n,
4049,Virat Kohli (c),1,6,8,0,0,16.66,lbw,Boult
4060,Virat Kohli (c),120,125,179,14,1,96,catch_out,Brathwaite
4089,Virat Kohli (c),114,99,127,14,0,115.15,n,
4095,Virat Kohli (c),4,4,4,1,0,100, ,Cottrell
4109,Virat Kohli (c),0,1,1,0,0,0,catch_out,Pollard
4134,Virat Kohli (c),85,81,81,9,0,104.93, ,Paul
4143,Virat Kohli (c),16,14,14,0,1,114.28,catch_out,Zampa
4155,Virat Kohli (c),78,76,76,6,0,102.63,catch_out,Zampa
4185,Virat Kohli (c),89,91,91,8,0,97.8, ,Hazlewood
4190,Virat Kohli (c),51,63,88,6,0,80.95, ,Sodhi
4214,Virat Kohli (c),15,25,31,1,0,60, ,Southee
4225,Virat Kohli (c),9,12,20,0,1,75,catch_out,Bennett
4249,Virat Kohli (c),21,21,21,2,1,100,catch_out,Hazlewood
4265,Virat Kohli (c),89,87,87,7,2,102.29,catch_out,Hazlewood
4276,Virat Kohli (c),63,78,78,5,0,80.76,catch_out,Hazlewood
4294,Virat Kohli (c),56,60,65,6,0,93.33,catch_out,Wood
4312,Virat Kohli (c),66,79,110,3,1,83.54,catch_out,Rashid
4326,Virat Kohli (c),7,10,14,1,0,70, ,Ali
4354,Virat Kohli ,51,63,79,3,0,80.95,catch_out,Shamsi
4364,Virat Kohli ,0,5,4,0,0,0,catch_out,Maharaj
4388,Virat Kohli ,65,84,112,5,0,77.38,catch_out,Maharaj
4410,Virat Kohli ,8,4,6,2,0,200,catch_out,Joseph
4416,Virat Kohli ,18,30,42,3,0,60,catch_out,Smith
4438,Virat Kohli ,0,2,2,0,0,0,catch_out,Joseph
4471,Virat Kohli ,16,25,39,3,0,64,catch_out,Willey
4493,Virat Kohli ,17,22,27,3,0,77.27,catch_out,Topley
